1,MADRID,BARCELONA,1,8,2020,22,0,3x7,Wifi-USB plugs-Standard plugs-Toilet-TV-Radio-Reclinable seats
2,MADRID,BARCELONA,29,4,2020,21,30,3x12,Wifi-USB Plugs-Reclinable seats
3,MADRID,BARCELONA,1,6,2020,9,0,4x12,Wifi-USB plugs-Standard plugs-Toilet-TV-Radio-Reclinable seats
4,MADRID,SANTANDER,29,4,2020,11,0,3x7,Radio-Reclinable seats
5,ZARAGOZA,TERUEL,28,4,2020,8,0,4x12,Wifi-USB plugs-Standard plugs-Toilet-TV-Radio-Reclinable seats
6,ZARAGOZA,VALENCIA,29,4,2020,23,4,4x12,Standard plugs-Toilet-Reclinable seats
7,ZARAGOZA,VALENCIA,28,4,2020,22,1,3x15,Thin bus-Wifi-USB plugs-Standard plugs-Toilet-TV-Radio-Reclinable seats
8,ZARAGOZA,VALENCIA,7,4,2020,23,15,4x12,TV-Reclinable seats
9,MADRID,SANTANDER,29,4,2020,8,25,3x7,Minibus-Wifi-USB plugs-Standard plugs-Toilet-TV-Radio-Reclinable seats
10,MADRID,SANTANDER,28,4,220,7,5,3x7,Minibus-USB plugs-Standard plugs-Toilet-TV-Radio-Reclinable seats
